name;price;unit
            FLOROVIT Жидкое садовое удобрение для кактусов и суккулентов,0,5 л;200;шт
            FLOROVIT Жидкое садовое удобрение для комнатных и балконных растений, 0,24л.;120;шт
            FLOROVIT Жидкое садовое удобрение для комнатных и балконных растений, 0,5л.;180;шт
            FLOROVIT Жидкое садовое удобрение для комнатных и балконных растений, 1,0л.;250;шт
            FLOROVIT Жидкое садовое удобрение для лиственных растений,0,5л.;180;шт
            FLOROVIT Жидкое садовое удобрение для лиственных растений,1,0л.;250;шт
            FLOROVIT Жидкое садовое удобрение для орхидеи,0,24л.;150;шт
            FLOROVIT Жидкое садовое удобрение для папоротников,1,0л.;250;шт
            FLOROVIT Жидкое садовое удобрение для пеларгонии,0,5л.;180;шт
            FLOROVIT Жидкое садовое удобрение для пеларгонии,1,0л.;250;шт
            FLOROVIT Жидкое садовое удобрение для пеларгонии,2,5л.;540;шт
            FLOROVIT Жидкое садовое удобрение для сурфинии,0,5л.;180;шт
            FLOROVIT Жидкое садовое удобрение для сурфинии,1,0л.;250;шт
            FLOROVIT Жидкое садовое удобрение для хвойных растений,1,0л.;260;шт
            FLOROVIT Жидкое садовое удобрение для цветущих растений,0,24л.;120;шт
            FLOROVIT Жидкое садовое удобрение для цветущих растений,0,5л.;180;шт
            FLOROVIT Жидкое садовое удобрение для цветущих растений,1,0л.;250;шт
            FLOROVIT Жидкое садовое удобрение для цветущих растений,2,5л.;540;шт
            FLOROVIT Комбинированное жидкое садовое удобрение 5л.;600;шт
            FLOROVIT Комбинированное жидкое садовое удобрение,0,5л.;110;шт
            FLOROVIT Комбинированное жидкое садовое удобрение,1,0л.;170;шт
        Фитолавин (от бактер. и гриб.болезней (З-А), 50 мл.;109;шт
        Фитоспорин-М  (универ., от болезн) БИ, 10 г. порошок;25;шт
        Фитоспорин-М  Золотая Осень,(от болезн) БИ, 200мл.;90;шт
        Фитоспорин-М Супер-Универсал  (БИ) 100 г., паста;38;шт
        Фитоспорин-М, (от болезн)  (БИ)   0,2кг., паста;94;шт
        Фуфанон (от комплекса вредителей)    (з-А) 5 мл.;12;шт
        Хорус (от болезней плодовых растений)  (З-А)  1 г.;20;шт
        Циркон  (стим.корнеобразования)  (МосАгро)  1 мл.;17;шт
        Эпин-Экстра (иммуномодулятор)  (МосАгро)   1 мл.;17;шт
